tmin tier text tmax
52.601 IU/tone 51 53.022
52.601 EU/tone 51 53.022
52.601 word 看 53.022
53.022 IU/tone 2155 53.751
53.022 EU/tone 2155 53.751
53.022 word 老師 53.751
54.845 EU/tone 512135 56.052
54.845 word 閉起來 56.052
54.845 IU/tone 512135 56.052
61.272 word 一人一分? 62.282
61.272 EU/tone 51352155 62.282
61.272 IU/tone 51355155 62.282
100.896 word 影子 102.143
100.896 EU/tone 2100 102.143
100.896 IU/tone 2100 102.143
103.352 EU/tone 2100 104.292
103.352 IU/tone 2100 104.292
103.352 word 影子 104.292
115.338 EU/tone 3500 116.604
115.338 IU/tone 3500 116.604
115.338 word 瓶子 116.604
117.861 EU/tone 3500 118.868
117.861 word 瓶子 118.868
117.861 IU/tone 3500 118.868
122.811 word 喝 123.617
122.811 IU/tone 55 123.617
122.811 EU/tone 55 123.617
123.617 EU/tone 21 124.519
123.617 word 水 124.519
123.617 IU/tone 21 124.519
125.276 EU/tone 5521 126.197
125.276 word 喝水 126.197
125.276 IU/tone 5521 126.197
137.019 EU/tone 2151 137.95
137.019 word 白色 137.95
137.019 IU/tone 3551 137.95
143.873 word 黑色 144.89
143.873 EU/tone 5151 144.89
143.873 IU/tone 5551 144.89
145.494 EU/tone 2151 146.444
145.494 word 黑色 146.444
145.494 IU/tone 5551 146.444
146.655 word 黑色 147.825
146.655 EU/tone 5151 147.825
146.655 IU/tone 5551 147.825
150.933 EU/tone 5551 151.653
150.933 IU/tone 5551 151.653
150.933 word 黑色 151.653
154.886 EU/tone 3551 155.663
154.886 IU/tone 3551 155.663
154.886 word 白色 155.663
158.608 EU/tone 5551 159.788
158.608 IU/tone 5551 159.788
158.608 word 黑色 159.788
159.788 IU/tone 5551 160.939
159.788 EU/tone 5551 160.939
159.788 word 黑色 160.939
162.015 IU/tone 5551 163.175
162.015 EU/tone 5551 163.175
162.015 word 黑色 163.175
183.62 word 白色 184.503
183.62 EU/tone 3551 184.503
183.62 IU/tone 3551 184.503
184.973 EU/tone 5535 186.565
184.973 IU/tone 5535 186.565
184.973 word 衣服 186.565
187.803 EU/tone 5551 188.897
187.803 IU/tone 5551 188.897
187.803 word 黑色 188.897
189.146 word 衣服 190.182
189.146 EU/tone 5535 190.182
189.146 IU/tone 5535 190.182
211.701 EU/tone 555151 213.571
211.701 IU/tone 555151 213.571
211.701 word 溫度計 213.571
215.413 EU/tone 555151 217.341
215.413 word 溫度計 217.341
215.413 IU/tone 555151 217.341
220.219 word 溫度計 222.013
220.219 EU/tone 555551 222.013
220.219 IU/tone 555151 222.013
236.283 IU/tone 513551 237.281
236.283 word 不一樣 237.281
236.283 EU/tone 512151 237.281
262.509 IU/tone 2100 263.881
262.509 EU/tone 2100 263.881
262.509 word 好了 263.881
271.693 EU/tone 35 272.547
271.693 word 排 272.547
271.693 IU/tone 35 272.547
290.14 word 老師 291.06
290.14 IU/tone 2155 291.06
290.14 EU/tone 3555 291.06
