row	tmin	tier	text	tmax
1	52.601	IU/tone	51	53.022
2	52.601	EU/tone	51	53.022
3	52.601	word	看	53.022
4	53.022	IU/tone	2155	53.751
5	53.022	EU/tone	2155	53.751
6	53.022	word	老師	53.751
7	54.845	EU/tone	512135	56.052
8	54.845	word	閉起來	56.052
9	54.845	IU/tone	512135	56.052
10	61.272	word	一人一分?	62.282
11	61.272	EU/tone	51352155	62.282
12	61.272	IU/tone	51355155	62.282
13	100.896	word	影子	102.143
14	100.896	EU/tone	21	102.143
15	100.896	IU/tone	21	102.143
16	103.352	EU/tone	21	104.292
17	103.352	IU/tone	21	104.292
18	103.352	word	影子	104.292
19	115.338	EU/tone	35	116.604
20	115.338	IU/tone	35	116.604
21	115.338	word	瓶子	116.604
22	117.861	EU/tone	35	118.868
23	117.861	word	瓶子*	118.868
24	117.861	IU/tone	35	118.868
25	122.811	word	喝	123.617
26	122.811	IU/tone	55	123.617
27	122.811	EU/tone	55	123.617
28	123.617	EU/tone	21	124.519
29	123.617	word	水	124.519
30	123.617	IU/tone	21	124.519
31	125.276	EU/tone	5521	126.197
32	125.276	word	喝水	126.197
33	125.276	IU/tone	5521	126.197
34	132.265	word	哇?	133.349
35	137.019	EU/tone	2151	137.950
36	137.019	word	白色	137.950
37	137.019	IU/tone	3551	137.950
38	143.873	word	黑色	144.890
39	143.873	EU/tone	5151	144.890
40	143.873	IU/tone	5551	144.890
41	145.494	EU/tone	2151	146.444
42	145.494	word	黑色	146.444
43	145.494	IU/tone	5551	146.444
44	146.655	word	黑*色*	147.825
45	146.655	EU/tone	5151	147.825
46	146.655	IU/tone	5551	147.825
47	150.933	EU/tone	5551	151.653
48	150.933	IU/tone	5551	151.653
49	150.933	word	黑*色	151.653
50	154.886	EU/tone	3551	155.663
51	154.886	IU/tone	3551	155.663
52	154.886	word	白色	155.663
53	158.608	EU/tone	5551	159.788
54	158.608	IU/tone	5551	159.788
55	158.608	word	黑色	159.788
56	159.788	IU/tone	5551	160.939
57	159.788	EU/tone	5551	160.939
58	159.788	word	黑色	160.939
59	162.015	IU/tone	5551	163.175
60	162.015	EU/tone	5551	163.175
61	162.015	word	黑色	163.175
62	183.620	word	白色	184.503
63	183.620	EU/tone	3551	184.503
64	183.620	IU/tone	3551	184.503
65	184.503	word	的	184.973
66	184.973	EU/tone	5535	186.565
67	184.973	IU/tone	5535	186.565
68	184.973	word	衣服	186.565
69	187.803	EU/tone	5551	188.897
70	187.803	IU/tone	5551	188.897
71	187.803	word	黑色	188.897
72	188.897	word	的	189.146
73	189.146	word	衣服	190.182
74	189.146	EU/tone	5535	190.182
75	189.146	IU/tone	5535	190.182
76	208.353	word	羊排刀?	209.696
77	211.701	EU/tone	555151	213.571
78	211.701	IU/tone	555151	213.571
79	211.701	word	溫度計	213.571
80	215.413	EU/tone	555151	217.341
81	215.413	word	溫度計	217.341
82	215.413	IU/tone	555151	217.341
83	220.219	word	溫度計	222.013
84	220.219	EU/tone	555551	222.013
85	220.219	IU/tone	555151	222.013
86	236.283	IU/tone	513551	237.281
87	236.283	word	不一樣	237.281
88	236.283	EU/tone	512151	237.281
89	262.509	IU/tone	21	263.881
90	262.509	EU/tone	21	263.881
91	262.509	word	好了	263.881
92	271.693	EU/tone	35	272.547
93	271.693	word	排	272.547
94	271.693	IU/tone	35	272.547
95	290.140	word	老師	291.060
96	290.140	IU/tone	2155	291.060
97	290.140 EU/tone 3555    291.060
