tmin	tier	text	tmax
32.105275	word	老	32.974001
32.105275	IU/tone	21	32.974001
32.105275	EU/tone	35	32.974001
35.714925	IU/tone	2155	36.483709
35.714925	EU/tone	2155	36.483709
35.714925	word	老師	36.483709
38.023245	word	老師	38.576770
38.023245	IU/tone	2155	38.576770
38.023245	EU/tone	2155	38.576770
38.576770	word	我	38.876595
38.576770	IU/tone	21	38.876595
38.576770	EU/tone	21	38.876595
38.876595	word	要	39.253300
38.876595	EU/tone	51	39.253300
38.876595	IU/tone	51	39.253300
39.253300	EU/tone	5521	40.421852
39.253300	word	喝水	40.421852
39.253300	IU/tone	5521	40.421852
137.425903	word	老師	138.263878
137.425903	IU/tone	2155	138.263878
137.425903	EU/tone	2155	138.263878
138.263878	IU/tone	21	138.579079
138.263878	EU/tone	21	138.579079
138.263878	word	我	138.579079
138.579079	EU/tone	51	139.024974
138.579079	IU/tone	51	139.024974
138.579079	word	要	139.024974
139.024974	EU/tone	5521	139.816822
139.024974	IU/tone	5521	139.816822
139.024974	word	喝水	139.816822
232.296737	IU/tone	5151	233.215026
232.296737	EU/tone	2151?	233.215026
232.296737	word	預備	233.215026
233.646060	EU/tone	51	234.838465
233.646060	word	二	234.838465
233.646060	IU/tone	51	234.838465
236.750425	IU/tone	21	237.106776
236.750425	EU/tone	21	237.106776
236.750425	word	九	237.106776
237.716685	EU/tone	55	238.107300
237.716685	word	八	238.107300
237.716685	IU/tone	55	238.107300
239.997375	word	六	240.535210
239.997375	EU/tone	51	240.535210
239.997375	IU/tone	51	240.535210
240.932474	IU/tone	21	241.396968
240.932474	EU/tone	21	241.396968
240.932474	word	五	241.396968
241.917702	IU/tone	51	242.388308
241.917702	EU/tone	51	242.388308
241.917702	word	四	242.388308
244.490753	IU/tone	3551	244.973582
244.490753	EU/tone	3551	244.973582
244.490753	word	十二	244.973582
246.446516	EU/tone	21	246.819334
246.446516	IU/tone	21	246.819334
246.446516	word	九*	246.819334
250.909001	word	五	251.322650
250.909001	EU/tone	21	251.322650
250.909001	IU/tone	21	251.322650
251.589375	EU/tone	51	251.987202
251.589375	word	四	251.987202
251.589375	IU/tone	51	251.987202
254.081986	IU/tone	51	254.502417
254.081986	EU/tone	51	254.502417
254.081986	word	二	254.502417
254.556666	EU/tone	55	254.922847
254.556666	IU/tone	55	254.922847
254.556666	word	一	254.922847
291.065055	IU/tone	5151	291.770293
291.065055	word	預*備?	291.770293
291.065055	EU/tone	5151	291.770293
327.886589	EU/tone	55	328.212083
327.886589	word	說*	328.212083
327.886589	IU/tone	55	328.212083
410.348528	IU/tone	3521	410.900061
410.348528	word	你好?	410.900061
410.348528	EU/tone	3521	410.900061
